id_expl,estacaolocalizacao,latitude,longitude,horariofuncionamento,tarifario,formaspagto,contatoservassistencia,wifi,aberturadt,criacaodtt,atualizacaodtt,cp7
464,464 - Av. da Igreja / Rua Afonso Lopes Vieira,38.75165,-9.148427,||> 6h00 - 2h00,||> Anual: 25? ||> Mensal: 15? ||> Diário*: 2? *(Valor promocional conforme termos e condições) ||> Mais informações em: https://www.gira-bicicletasdelisboa.pt/passes-e-tarifarios/,"||> Utilizador Regular: Ref. MB, PayPal, Cartões de Crédito: VISA e MasterCard ||> Utilizador Ocasional: Paypal e Cartões de Crédito: VISA e MasterCard + Valor de Caução de 300?.",||> gira@emel.pt ||> (+351) 211 163 060 (Opção 2 (no IVR)),True,18-11-2017 00:00,09-10-2017 15:22,25-07-2025 07:00,1700013
487,487 - Rua Professor João Barreira,38.76136,-9.17096,||> 6h00 - 2h00,||> Anual: 25? ||> Mensal: 15? ||> Diário*: 2? *(Valor promocional conforme termos e condições) ||> Mais informações em: https://www.gira-bicicletasdelisboa.pt/passes-e-tarifarios/,"||> Utilizador Regular: Ref. MB, PayPal, Cartões de Crédito: VISA e MasterCard ||> Utilizador Ocasional: Paypal e Cartões de Crédito: VISA e MasterCard + Valor de Caução de 300?.",||> gira@emel.pt ||> (+351) 211 163 060 (Opção 2 (no IVR)),True,03-04-2018 00:00,22-03-2018 08:10,25-07-2025 07:00,1600635
421,421 - Alameda D. Afonso Henriques,38.73736,-9.13416,||> 6h00 - 2h00,||> Anual: 25? ||> Mensal: 15? ||> Diário*: 2? *(Valor promocional conforme termos e condições) ||> Mais informações em: https://www.gira-bicicletasdelisboa.pt/passes-e-tarifarios/,"||> Utilizador Regular: Ref. MB, PayPal, Cartões de Crédito: VISA e MasterCard ||> Utilizador Ocasional: Paypal e Cartões de Crédito: VISA e MasterCard + Valor de Caução de 300?.",||> gira@emel.pt ||> (+351) 211 163 060 (Opção 2 (no IVR)),True,05-04-2018 00:00,15-03-2018 19:00,25-07-2025 07:00,1900183
306,306 - Avenida da Liberdade / Rua Alexandre Herculano,38.72281,-9.14854,||> 6h00 - 2h00,||> Anual: 25? ||> Mensal: 15? ||> Diário*: 2? *(Valor promocional conforme termos e condições) ||> Mais informações em: https://www.gira-bicicletasdelisboa.pt/passes-e-tarifarios/,"||> Utilizador Regular: Ref. MB, PayPal, Cartões de Crédito: VISA e MasterCard ||> Utilizador Ocasional: Paypal e Cartões de Crédito: VISA e MasterCard + Valor de Caução de 300?.",||> gira@emel.pt ||> (+351) 211 163 060 (Opção 2 (no IVR)),True,27-03-2018 00:00,15-03-2018 22:12,25-07-2025 07:00,1250142
552,552 - Alameda das Linhas de Torres / Hospital Puli,38.766075,-9.157335,||> 6h00 - 2h00,||> Anual: 25? ||> Mensal: 15? ||> Diário*: 2? *(Valor promocional conforme termos e condições) ||> Mais informações em: https://www.gira-bicicletasdelisboa.pt/passes-e-tarifarios/,"||> Utilizador Regular: Ref. MB, PayPal, Cartões de Crédito: VISA e MasterCard ||> Utilizador Ocasional: Paypal e Cartões de Crédito: VISA e MasterCard + Valor de Caução de 300?.",||> gira@emel.pt ||> (+351) 211 163 060 (Opção 2 (no IVR)),True,05-08-2021 00:00,30-07-2021 11:22,25-07-2025 07:00,1750181
,405 - Rua Pedro Nunes / Av. 5 de Outubro,38.733827,-9.14727,,,,,,,18-12-2024 07:40,25-07-2025 07:00,
555,555 - Alameda das Linhas de Torres,38.770657,-9.160248,||> 6h00 - 2h00,||> Anual: 25? ||> Mensal: 15? ||> Diário*: 2? *(Valor promocional conforme termos e condições) ||> Mais informações em: https://www.gira-bicicletasdelisboa.pt/passes-e-tarifarios/,"||> Utilizador Regular: Ref. MB, PayPal, Cartões de Crédito: VISA e MasterCard ||> Utilizador Ocasional: Paypal e Cartões de Crédito: VISA e MasterCard + Valor de Caução de 300?.",||> gira@emel.pt ||> (+351) 211 163 060 (Opção 2 (no IVR)),True,10-02-2022 00:00,27-01-2022 09:52,25-07-2025 07:00,1750143
401,401 - Rua Martens Ferrão / Av. Fontes Pereira de Melo,38.72894,-9.14742,||> 6h00 - 2h00,||> Anual: 25? ||> Mensal: 15? ||> Diário*: 2? *(Valor promocional conforme termos e condições) ||> Mais informações em: https://www.gira-bicicletasdelisboa.pt/passes-e-tarifarios/,"||> Utilizador Regular: Ref. MB, PayPal, Cartões de Crédito: VISA e MasterCard ||> Utilizador Ocasional: Paypal e Cartões de Crédito: VISA e MasterCard + Valor de Caução de 300?.",||> gira@emel.pt ||> (+351) 211 163 060 (Opção 2 (no IVR)),True,06-06-2018 00:00,16-05-2018 09:07,25-07-2025 07:00,1050116
431,431 - Rua do Arco Cego / Av. Magalhães Lima,38.73937,-9.14199,||> 6h00 - 2h00,||> Anual: 25? ||> Mensal: 15? ||> Diário*: 2? *(Valor promocional conforme termos e condições) ||> Mais informações em: https://www.gira-bicicletasdelisboa.pt/passes-e-tarifarios/,"||> Utilizador Regular: Ref. MB, PayPal, Cartões de Crédito: VISA e MasterCard ||> Utilizador Ocasional: Paypal e Cartões de Crédito: VISA e MasterCard + Valor de Caução de 300?.",||> gira@emel.pt ||> (+351) 211 163 060 (Opção 2 (no IVR)),True,18-11-2017 00:00,12-10-2017 10:57,25-07-2025 07:00,1000044
412,412 - Av. Ressano Garcia / Av. António Augusto de Aguiar,38.73448,-9.1546,||> 6h00 - 2h00,||> Anual: 25? ||> Mensal: 15? ||> Diário*: 2? *(Valor promocional conforme termos e condições) ||> Mais informações em: https://www.gira-bicicletasdelisboa.pt/passes-e-tarifarios/,"||> Utilizador Regular: Ref. MB, PayPal, Cartões de Crédito: VISA e MasterCard ||> Utilizador Ocasional: Paypal e Cartões de Crédito: VISA e MasterCard + Valor de Caução de 300?.",||> gira@emel.pt ||> (+351) 211 163 060 (Opção 2 (no IVR)),True,18-11-2017 00:00,12-10-2017 10:57,25-07-2025 07:00,1070237
